波段,起点,终点,天数,上证指数,创业板指,159915
1,2023-01-03,2023-02-23,51,5.49%,4.29%,4.19%
2,2023-03-20,2023-05-12,53,1.16%,-1.73%,-1.84%
3,2023-06-15,2023-06-29,14,-2.17%,-2.58%,-2.29%
4,2023-07-25,2023-08-10,16,0.71%,2.12%,2.25%
5,2023-08-28,2023-09-07,10,0.77%,-0.15%,-0.35%
6,2023-09-22,2023-11-27,66,-3.22%,-4.33%,-4.38%
7,2023-12-08,2024-03-29,112,2.41%,-3.91%,-4.07%
8,2024-04-26,2024-05-14,18,1.85%,1.75%,2.20%
9,2024-07-09,2024-08-09,31,-3.28%,-3.42%,-3.33%
10,2024-08-30,2024-09-06,7,-2.69%,-2.68%,-2.84%
11,2024-09-19,2024-11-14,56,23.53%,50.99%,50.63%
12,2024-12-10,2024-12-18,8,-1.18%,-2.73%,-2.84%
13,2025-01-14,2025-03-04,49,2.57%,5.51%,5.55%
14,2025-04-07,2025-04-15,8,5.52%,6.82%,6.65%
15,2025-05-06,2025-05-22,16,1.93%,2.98%,2.96%
16,2025-06-10,2025-09-26,108,13.10%,54.69%,55.52%
17,2025-10-09,2025-11-14,36,1.44%,-4.61%,-4.39%
18,2025-12-08,2026-01-21,44,4.91%,3.30%,3.47%
19,2026-03-02,2026-03-16,14,-2.34%,1.91%,2.04%
20,2026-04-08,2026-06-09,62,0.38%,18.35%,18.74%
