序号,开始时间,结束时间,上证指数,159915
1,2023-01-30,2023-04-21,0.98%,-12.84%
2,2023-07-31,2023-08-07,-0.67%,1.02%
3,2023-08-29,2023-09-14,-0.30%,-2.49%
4,2023-10-25,2023-11-22,2.34%,3.66%
5,2023-12-28,2024-01-17,-4.10%,-6.07%
6,2024-01-25,2024-01-30,-2.60%,-6.42%
7,2024-02-06,2024-03-14,8.92%,19.97%
8,2024-04-17,2024-05-15,1.58%,4.90%
9,2024-07-31,2024-08-12,-2.74%,-2.37%
10,2024-08-30,2024-10-08,22.78%,77.00%
11,2024-10-18,2024-11-14,3.63%,14.69%
12,2025-01-14,2025-01-27,0.30%,4.43%
13,2025-02-06,2025-02-28,1.54%,5.14%
14,2025-04-08,2025-04-14,3.73%,6.76%
15,2025-05-06,2025-05-15,1.95%,4.74%
16,2025-06-25,2025-09-04,8.97%,34.59%
17,2026-01-05,2026-02-02,-0.19%,2.07%
18,2026-04-08,2026-05-27,2.47%,28.72%
19,2026-06-15,2026-06-19,-0.15%,11.00%
