序号,开始时间,结束时间,创业板指,上证指数,159915
1,2023-01-30,2023-04-21,-10.43,0.98,-10.42
2,2023-07-31,2023-08-07,0.18,-0.67,0.14
3,2023-08-29,2023-09-14,-5.02,-0.30,-5.18
4,2023-10-25,2023-11-22,4.63,2.34,4.63
5,2023-12-28,2024-01-17,-9.57,-4.10,-9.66
6,2024-01-25,2024-01-30,-7.96,-2.60,-7.82
7,2024-02-06,2024-03-14,12.93,8.92,12.88
8,2024-04-17,2024-05-15,2.31,1.58,2.86
9,2024-07-31,2024-08-12,-5.67,-2.74,-5.73
10,2024-08-30,2024-10-08,61.36,22.78,72.55
11,2024-10-18,2024-11-14,6.37,3.63,6.12
12,2025-01-14,2025-01-27,-0.58,0.30,-0.39
13,2025-02-06,2025-02-28,2.34,1.54,2.31
14,2025-04-08,2025-04-14,5.03,3.73,5.04
15,2025-05-06,2025-05-15,2.86,1.95,2.76
16,2025-06-25,2025-09-04,30.44,8.97,30.44
17,2026-01-05,2026-02-02,-0.92,-0.19,-0.88
18,2026-04-08,2026-05-27,20.86,2.47,21.26
19,2026-06-15,2026-06-19,5.43,-0.15,5.54
